car_name,car_price_in_rupees,kms_driven,fuel_type,city,year_of_manufacture
Tata Nexon XZ+,₹ 1.20 Lakh,"175,141 km",Diesel,Thane,2013
Maruti Suzuki Wagon R 1.0 VXI,₹ 1.20 Lakh,"123,207 km",Petrol,Thane,2016
Tata Safari XZ+,₹ 1.38 Lakh,"132,631 km",CNG,Ahmedabad,2014
Audi A4 35 TDI,₹ 37.75 Lakh,"32,389 km",Diesel,Mumbai,2023
Toyota Fortuner 2.8 4x2,₹ 6.24 Lakh,"130,165 km",Petrol,Noida,2016
Mercedes-Benz E-Class E220d,₹ 47.64 Lakh,"118,433 km",Diesel,Noida,2016
Audi Q3 Premium,₹ 31.93 Lakh,"105,878 km",Petrol,Kolkata,2016
Tata Safari XZ+,₹ 6.82 Lakh,"58,557 km",Petrol,Thane,2023
Tata Harrier XZ,₹ 7.49 Lakh,"28,806 km",CNG,Noida,2023
Honda Amaze VX,₹ 3.70 Lakh,"113,639 km",Diesel,Mumbai,2018
Toyota Glanza G,₹ 5.68 Lakh,"129,105 km",CNG,Chennai,2016
Hyundai Elite i20 Sportz,₹ 1.93 Lakh,"117,086 km",Diesel,Bangalore,2017
Toyota Innova Crysta GX,₹ 3.42 Lakh,"200,318 km",Petrol,Chennai,2012
Hyundai Creta SX,₹ 3.31 Lakh,"96,314 km",CNG,Pune,2020
BMW 3 Series 320d,₹ 40.11 Lakh,"67,896 km",Petrol,Thane,2020
Hyundai Grand i10 Magna,₹ 1.20 Lakh,"161,713 km",Diesel,Chennai,2014
Audi Q5 quattro,₹ 35.53 Lakh,"73,985 km",Diesel,Pune,2021
Audi Q5 quattro,₹ 31.07 Lakh,"140,774 km",Diesel,Bangalore,2014
Tata Nexon XZ+,₹ 7.61 Lakh,"33,600 km",Petrol,Noida,2023
BMW 3 Series 320d,₹ 39.71 Lakh,"80,146 km",Petrol,Kolkata,2019
Tata Safari XZ+,₹ 5.11 Lakh,"100,133 km",Petrol,Pune,2020
Hyundai Elite i20 Sportz,₹ 2.56 Lakh,"92,121 km",Diesel,Delhi,2018
Hyundai Santro Sportz,₹ 1.20 Lakh,"143,780 km",Petrol,Delhi,2015
Audi Q3 Premium,₹ 29.92 Lakh,"170,552 km",Petrol,Thane,2012
Honda WR-V VX,₹ 4.35 Lakh,"46,958 km",CNG,Delhi,2019
Mercedes-Benz C-Class C200,₹ 53.41 Lakh,"37,022 km",Diesel,Chennai,2023
Mahindra XUV500 W8,₹ 10.34 Lakh,"26,700 km",CNG,Noida,2023
BMW 3 Series 320d,₹ 41.98 Lakh,"30,095 km",Diesel,Bangalore,2022
Honda BR-V VX,₹ 2.00 Lakh,"125,022 km",Diesel,Bangalore,2017
Hyundai Elite i20 Sportz,₹ 5.47 Lakh,"49,299 km",Petrol,Thane,2022
Hyundai Elite i20 Sportz,₹ 1.20 Lakh,"115,641 km",Petrol,Noida,2016
Tata Nexon XZ+,₹ 4.02 Lakh,"89,996 km",CNG,Kolkata,2019
Maruti Suzuki S-Presso VXi,₹ 1.20 Lakh,"111,290 km",Diesel,Bangalore,2017
Maruti Suzuki Swift VXi,₹ 1.20 Lakh,"106,451 km",Diesel,Hyderabad,2018
Audi A4 35 TDI,₹ 33.57 Lakh,"110,880 km",Diesel,Pune,2018
Kia Sonet GTX,₹ 6.10 Lakh,"134,738 km",Diesel,Chennai,2016
Audi Q3 Premium,₹ 29.06 Lakh,"178,498 km",Petrol,Bangalore,2013
Kia Seltos GTX,₹ 5.61 Lakh,"111,829 km",CNG,Hyderabad,2017
Tata Nexon XZ+,₹ 1.27 Lakh,"133,383 km",Petrol,Bangalore,2014
BMW X1 sDrive20d,₹ 37.41 Lakh,"137,184 km",Diesel,Chennai,2016
BMW X1 sDrive20d,₹ 42.72 Lakh,"54,933 km",Petrol,Thane,2023
Kia Seltos GTX,₹ 2.10 Lakh,"175,365 km",Petrol,Mumbai,2013
Mahindra Scorpio S11,₹ 2.26 Lakh,"173,961 km",CNG,Ahmedabad,2012
Mercedes-Benz GLA 220d,₹ 44.01 Lakh,"164,236 km",Petrol,Kolkata,2012
BMW 3 Series 320d,₹ 38.83 Lakh,"101,097 km",Diesel,Hyderabad,2018
Hyundai i10 Magna,₹ 1.20 Lakh,"131,902 km",CNG,Hyderabad,2016
Kia Seltos GTX,₹ 8.03 Lakh,"83,091 km",CNG,Thane,2019
Toyota Corolla Altis G,₹ 10.99 Lakh,"31,944 km",CNG,Bangalore,2022
Honda WR-V VX,₹ 1.20 Lakh,"171,828 km",Petrol,Chennai,2012
Toyota Glanza G,₹ 3.49 Lakh,"180,751 km",Diesel,Chennai,2012
Toyota Fortuner 2.8 4x2,₹ 7.17 Lakh,"109,182 km",Diesel,Mumbai,2017
Tata Tiago XT,₹ 2.21 Lakh,"126,912 km",Diesel,Chennai,2016
Maruti Suzuki Baleno Delta 1.2,₹ 1.20 Lakh,"190,636 km",Diesel,Hyderabad,2012
Tata Nexon XZ+,₹ 4.50 Lakh,"101,059 km",Petrol,Pune,2018
Mahindra Thar LX,₹ 5.64 Lakh,"138,638 km",CNG,Thane,2016
Honda Amaze VX,₹ 2.40 Lakh,"124,505 km",CNG,Ahmedabad,2017
Mercedes-Benz GLA 220d,₹ 51.51 Lakh,"52,966 km",Diesel,Noida,2021
Hyundai Creta SX,₹ 4.21 Lakh,"65,559 km",CNG,Noida,2022
Mercedes-Benz GLA 220d,₹ 47.51 Lakh,"141,575 km",Diesel,Delhi,2015
Mercedes-Benz E-Class E220d,₹ 47.08 Lakh,"137,207 km",Petrol,Hyderabad,2016
Honda City VX,₹ 1.20 Lakh,"154,434 km",Diesel,Thane,2014
Mahindra Thar LX,₹ 10.45 Lakh,"67,168 km",CNG,Delhi,2022
Hyundai Venue S,₹ 2.47 Lakh,"71,711 km",Petrol,Bangalore,2018
Honda Amaze VX,₹ 1.20 Lakh,"168,594 km",CNG,Mumbai,2012
Toyota Etios Liva G,₹ 8.62 Lakh,"79,325 km",Petrol,Bangalore,2019
Audi Q3 Premium,₹ 35.89 Lakh,"54,761 km",Petrol,Chennai,2020
Toyota Fortuner 2.8 4x2,₹ 3.91 Lakh,"177,506 km",CNG,Mumbai,2012
Audi Q3 Premium,₹ 35.75 Lakh,"84,101 km",Petrol,Pune,2020
Tata Tiago XT,₹ 5.07 Lakh,"83,261 km",CNG,Hyderabad,2020
Honda Amaze VX,₹ 1.20 Lakh,"154,814 km",Diesel,Mumbai,2014
Toyota Fortuner 2.8 4x2,₹ 10.04 Lakh,"89,933 km",CNG,Noida,2020
Mahindra XUV500 W8,₹ 10.96 Lakh,"52,574 km",CNG,Pune,2023
Kia Carens Prestige,₹ 4.83 Lakh,"123,137 km",Petrol,Ahmedabad,2016
Tata Harrier XZ,₹ 2.44 Lakh,"128,676 km",Petrol,Thane,2016
Mercedes-Benz C-Class C200,₹ 52.70 Lakh,"40,687 km",Petrol,Noida,2023
BMW 3 Series 320d,₹ 38.36 Lakh,"101,231 km",Petrol,Hyderabad,2017
Kia Seltos GTX,₹ 8.55 Lakh,"91,213 km",Diesel,Bangalore,2019
Hyundai Venue S,₹ 1.20 Lakh,"168,189 km",Diesel,Bangalore,2014
Honda Jazz VX,₹ 4.86 Lakh,"45,629 km",CNG,Pune,2021
Honda Jazz VX,₹ 2.46 Lakh,"102,155 km",CNG,Noida,2018
Honda City VX,₹ 3.53 Lakh,"101,783 km",Diesel,Delhi,2018
Honda City VX,₹ 4.42 Lakh,"91,269 km",Petrol,Chennai,2021
Hyundai i10 Magna,₹ 1.20 Lakh,"174,456 km",Petrol,Bangalore,2012
Hyundai Elite i20 Sportz,₹ 1.20 Lakh,"131,803 km",CNG,Noida,2014
Maruti Suzuki Swift VXi,₹ 1.20 Lakh,"76,050 km",CNG,Delhi,2020
BMW X1 sDrive20d,₹ 39.87 Lakh,"78,134 km",Diesel,Pune,2019
Honda Jazz VX,₹ 1.20 Lakh,"163,884 km",CNG,Delhi,2012
Maruti Suzuki Swift VXi,₹ 1.78 Lakh,"74,442 km",Diesel,Delhi,2020
Kia Seltos GTX,₹ 1.98 Lakh,"175,252 km",Diesel,Chennai,2012
Tata Harrier XZ,₹ 7.26 Lakh,"51,613 km",Diesel,Delhi,2022
Hyundai Creta SX,₹ 1.20 Lakh,"170,401 km",Petrol,Noida,2013
Mahindra XUV500 W8,₹ 1.92 Lakh,"170,362 km",CNG,Bangalore,2012
Audi Q3 Premium,₹ 36.49 Lakh,"70,279 km",Petrol,Noida,2021
Mahindra XUV500 W8,₹ 6.14 Lakh,"136,472 km",Diesel,Ahmedabad,2016
Hyundai i10 Magna,₹ 1.20 Lakh,"194,413 km",CNG,Bangalore,2012
Kia Sonet GTX,₹ 10.85 Lakh,"15,675 km",Diesel,Delhi,2023
Kia Carens Prestige,₹ 5.56 Lakh,"131,514 km",Petrol,Bangalore,2016
Mahindra Thar LX,₹ 8.11 Lakh,"97,362 km",Diesel,Kolkata,2019
Kia Carens Prestige,₹ 10.05 Lakh,"42,183 km",CNG,Hyderabad,2022
Audi Q3 Premium,₹ 35.04 Lakh,"95,698 km",Petrol,Thane,2020
Toyota Etios Liva G,₹ 4.67 Lakh,"150,028 km",CNG,Hyderabad,2013
Toyota Innova Crysta GX,₹ 3.08 Lakh,"166,881 km",Petrol,Mumbai,2012
BMW 3 Series 320d,₹ 35.10 Lakh,"171,355 km",Diesel,Pune,2013
Audi Q3 Premium,₹ 31.10 Lakh,"141,068 km",Diesel,Hyderabad,2015
Honda City VX,₹ 6.47 Lakh,"37,667 km",Petrol,Chennai,2023
Hyundai Santro Sportz,₹ 4.82 Lakh,"53,802 km",Petrol,Kolkata,2021
Honda City VX,₹ 1.20 Lakh,"145,775 km",Petrol,Mumbai,2014
Kia Seltos GTX,₹ 4.45 Lakh,"152,646 km",Diesel,Bangalore,2014
Tata Safari XZ+,₹ 3.68 Lakh,"98,769 km",CNG,Mumbai,2018
Honda City VX,₹ 6.48 Lakh,"40,191 km",Petrol,Noida,2022
Audi A4 35 TDI,₹ 29.70 Lakh,"162,979 km",Petrol,Thane,2012
Tata Tiago XT,₹ 8.16 Lakh,"48,633 km",Petrol,Chennai,2023
Tata Nexon XZ+,₹ 5.74 Lakh,"55,822 km",CNG,Hyderabad,2020
Maruti Suzuki Wagon R 1.0 VXI,₹ 1.20 Lakh,"121,506 km",Petrol,Thane,2018
Hyundai i10 Magna,₹ 6.52 Lakh,"30,801 km",CNG,Chennai,2023
Honda City VX,₹ 1.69 Lakh,"115,049 km",CNG,Chennai,2017
Hyundai Grand i10 Magna,₹ 1.20 Lakh,"147,442 km",Diesel,Mumbai,2013
Honda BR-V VX,₹ 1.20 Lakh,"176,833 km",Petrol,Hyderabad,2013
Tata Harrier XZ,₹ 4.50 Lakh,"85,248 km",Petrol,Pune,2020
Mercedes-Benz GLA 220d,₹ 42.99 Lakh,"199,354 km",Petrol,Mumbai,2012
Hyundai Elite i20 Sportz,₹ 1.20 Lakh,"192,880 km",Diesel,Thane,2012
Kia Carens Prestige,₹ 5.79 Lakh,"110,557 km",Petrol,Delhi,2017
Audi A4 35 TDI,₹ 35.41 Lakh,"79,419 km",Petrol,Kolkata,2020
Maruti Suzuki Ciaz ZXI+,₹ 1.20 Lakh,"142,595 km",Petrol,Kolkata,2014
Hyundai Santro Sportz,₹ 1.20 Lakh,"153,285 km",CNG,Bangalore,2015
Honda BR-V VX,₹ 5.02 Lakh,"62,533 km",CNG,Noida,2020
Mahindra Thar LX,₹ 4.85 Lakh,"142,980 km",Diesel,Mumbai,2014
Kia Seltos GTX,₹ 3.83 Lakh,"146,614 km",CNG,Noida,2015
Honda BR-V VX,₹ 6.17 Lakh,"58,429 km",Petrol,Bangalore,2022
Tata Nexon XZ+,₹ 4.25 Lakh,"88,809 km",Petrol,Kolkata,2019
Tata Harrier XZ,₹ 1.20 Lakh,"158,855 km",Petrol,Delhi,2013
BMW 5 Series 520d,₹ 39.59 Lakh,"100,199 km",Petrol,Kolkata,2019
Honda City VX,₹ 5.54 Lakh,"53,624 km",Diesel,Chennai,2021
Mercedes-Benz GLA 220d,₹ 45.72 Lakh,"149,840 km",Petrol,Ahmedabad,2014
Mercedes-Benz E-Class E220d,₹ 48.43 Lakh,"123,724 km",Petrol,Pune,2017
Maruti Suzuki Alto 800 LXi,₹ 2.71 Lakh,"47,205 km",Petrol,Thane,2023
Hyundai Elite i20 Sportz,₹ 1.48 Lakh,"107,606 km",Petrol,Hyderabad,2018
BMW X1 sDrive20d,₹ 34.72 Lakh,"171,155 km",Petrol,Kolkata,2013
Audi Q3 Premium,₹ 29.17 Lakh,"177,705 km",Petrol,Chennai,2013
Mahindra XUV500 W8,₹ 6.21 Lakh,"122,996 km",Diesel,Noida,2017
BMW 3 Series 320d,₹ 37.73 Lakh,"110,548 km",Petrol,Bangalore,2016
Mahindra Scorpio S11,₹ 1.61 Lakh,"177,240 km",CNG,Chennai,2012
Mahindra Thar LX,₹ 7.15 Lakh,"90,884 km",Petrol,Chennai,2019
Honda City VX,₹ 1.20 Lakh,"157,054 km",Petrol,Pune,2014
Tata Safari XZ+,₹ 5.03 Lakh,"83,355 km",Diesel,Bangalore,2018
Hyundai Venue S,₹ 1.20 Lakh,"110,230 km",Diesel,Bangalore,2017
Kia Sonet GTX,₹ 7.88 Lakh,"68,516 km",CNG,Chennai,2019
Mercedes-Benz E-Class E220d,₹ 45.03 Lakh,"168,352 km",Diesel,Delhi,2012
Mercedes-Benz GLA 220d,₹ 45.44 Lakh,"133,282 km",Petrol,Mumbai,2014
BMW 3 Series 320d,₹ 39.45 Lakh,"120,464 km",Petrol,Delhi,2019
Kia Sonet GTX,₹ 8.65 Lakh,"70,802 km",Petrol,Kolkata,2020
Mercedes-Benz C-Class C200,₹ 45.09 Lakh,"137,769 km",Diesel,Hyderabad,2012
Audi A4 35 TDI,₹ 37.35 Lakh,"57,025 km",Diesel,Noida,2021
Mahindra Thar LX,₹ 2.45 Lakh,"180,722 km",Diesel,Pune,2012
Hyundai Santro Sportz,₹ 2.85 Lakh,"81,143 km",Diesel,Ahmedabad,2019
Audi Q3 Premium,₹ 36.19 Lakh,"66,340 km",Petrol,Delhi,2020
BMW 5 Series 520d,₹ 37.54 Lakh,"120,152 km",Petrol,Chennai,2017
Kia Carens Prestige,₹ 5.89 Lakh,"139,459 km",CNG,Noida,2016
Hyundai Grand i10 Magna,₹ 1.20 Lakh,"162,846 km",Diesel,Delhi,2013
Mercedes-Benz GLA 220d,₹ 45.06 Lakh,"162,166 km",Petrol,Thane,2013
Maruti Suzuki Ciaz ZXI+,₹ 1.20 Lakh,"105,931 km",CNG,Chennai,2018
BMW 3 Series 320d,₹ 38.31 Lakh,"133,191 km",Petrol,Chennai,2017
Kia Seltos GTX,₹ 6.06 Lakh,"115,869 km",Diesel,Pune,2017
Kia Carens Prestige,₹ 3.99 Lakh,"123,007 km",Petrol,Chennai,2015
Maruti Suzuki Baleno Delta 1.2,₹ 1.20 Lakh,"120,838 km",CNG,Noida,2017
Honda BR-V VX,₹ 3.76 Lakh,"88,780 km",Petrol,Thane,2018
Toyota Corolla Altis G,₹ 10.51 Lakh,"49,939 km",CNG,Chennai,2022
Kia Carens Prestige,₹ 4.10 Lakh,"151,426 km",Diesel,Ahmedabad,2014
Kia Seltos GTX,₹ 3.43 Lakh,"159,449 km",Petrol,Noida,2013
Tata Harrier XZ,₹ 2.47 Lakh,"106,959 km",Petrol,Delhi,2017
Kia Seltos GTX,₹ 10.70 Lakh,"53,868 km",CNG,Thane,2022
Hyundai Verna SX,₹ 2.68 Lakh,"94,138 km",Petrol,Bangalore,2018
Mahindra XUV500 W8,₹ 5.12 Lakh,"132,114 km",Petrol,Thane,2015
Kia Sonet GTX,₹ 9.30 Lakh,"46,047 km",Petrol,Pune,2022
Honda City VX,₹ 6.10 Lakh,"76,991 km",Petrol,Kolkata,2022
Hyundai Grand i10 Magna,₹ 1.20 Lakh,"146,701 km",Diesel,Pune,2014
Hyundai Grand i10 Magna,₹ 1.64 Lakh,"103,844 km",Petrol,Chennai,2019
Maruti Suzuki Ertiga VXI CNG,₹ 1.20 Lakh,"139,046 km",Diesel,Delhi,2013
Kia Sonet GTX,₹ 5.85 Lakh,"104,221 km",Petrol,Bangalore,2017
Honda BR-V VX,₹ 5.61 Lakh,"43,223 km",CNG,Mumbai,2022
Mahindra Thar LX,₹ 7.29 Lakh,"105,236 km",Petrol,Bangalore,2019
Tata Nexon XZ+,₹ 1.75 Lakh,"136,481 km",CNG,Mumbai,2015
Audi Q5 quattro,₹ 30.80 Lakh,"151,402 km",Diesel,Mumbai,2014
Toyota Glanza G,₹ 11.24 Lakh,"52,178 km",CNG,Bangalore,2023
BMW 3 Series 320d,₹ 35.50 Lakh,"152,179 km",Petrol,Kolkata,2013
BMW 5 Series 520d,₹ 39.69 Lakh,"89,374 km",Petrol,Hyderabad,2020
Toyota Innova Crysta GX,₹ 7.14 Lakh,"118,004 km",CNG,Pune,2018
Toyota Etios Liva G,₹ 8.11 Lakh,"113,833 km",Diesel,Chennai,2018
Tata Tiago XT,₹ 5.68 Lakh,"74,201 km",Petrol,Noida,2021
Hyundai Venue S,₹ 1.20 Lakh,"156,377 km",Petrol,Thane,2014
Kia Sonet GTX,₹ 8.97 Lakh,"73,004 km",CNG,Ahmedabad,2021
Hyundai Creta SX,₹ 1.46 Lakh,"97,693 km",Diesel,Bangalore,2017
Hyundai Creta SX,₹ 4.55 Lakh,"48,350 km",Diesel,Delhi,2022
Maruti Suzuki Vitara Brezza VDi,₹ 1.20 Lakh,"141,848 km",Diesel,Noida,2015
Toyota Corolla Altis G,₹ 3.74 Lakh,"148,744 km",CNG,Hyderabad,2013
Tata Nexon XZ+,₹ 6.38 Lakh,"75,723 km",CNG,Chennai,2021
Kia Sonet GTX,₹ 5.67 Lakh,"114,225 km",Diesel,Kolkata,2017
Tata Safari XZ+,₹ 1.20 Lakh,"164,628 km",Petrol,Kolkata,2013
Mahindra Scorpio S11,₹ 7.56 Lakh,"101,212 km",Petrol,Noida,2018
BMW 5 Series 520d,₹ 36.31 Lakh,"151,479 km",Petrol,Mumbai,2014
Audi A4 35 TDI,₹ 33.82 Lakh,"110,204 km",Diesel,Chennai,2017
Tata Tiago XT,₹ 3.57 Lakh,"109,406 km",Diesel,Delhi,2017
Mahindra Thar LX,₹ 9.86 Lakh,"74,664 km",Diesel,Kolkata,2021
Hyundai i10 Magna,₹ 1.20 Lakh,"115,944 km",CNG,Delhi,2017
Maruti Suzuki Alto 800 LXi,₹ 1.20 Lakh,"157,367 km",CNG,Chennai,2014
Hyundai Creta SX,₹ 6.68 Lakh,"47,501 km",Diesel,Thane,2023
Maruti Suzuki Ciaz ZXI+,₹ 1.20 Lakh,"195,327 km",Petrol,Pune,2012
Mercedes-Benz E-Class E220d,₹ 47.45 Lakh,"143,661 km",Diesel,Bangalore,2016
Hyundai Creta SX,₹ 1.45 Lakh,"125,975 km",Diesel,Kolkata,2017
Audi Q5 quattro,₹ 32.52 Lakh,"121,689 km",Petrol,Kolkata,2015
Mahindra Scorpio S11,₹ 7.69 Lakh,"90,420 km",Diesel,Delhi,2019
Toyota Fortuner 2.8 4x2,₹ 12.20 Lakh,"50,283 km",Petrol,Delhi,2023
Maruti Suzuki Wagon R 1.0 VXI,₹ 1.20 Lakh,"166,540 km",Diesel,Hyderabad,2012
Mahindra XUV500 W8,₹ 10.07 Lakh,"53,162 km",CNG,Thane,2021
Tata Safari XZ+,₹ 7.37 Lakh,"61,067 km",Petrol,Hyderabad,2022
Kia Sonet GTX,₹ 9.52 Lakh,"76,711 km",CNG,Hyderabad,2021
Toyota Glanza G,₹ 6.18 Lakh,"108,820 km",CNG,Delhi,2016
Hyundai Santro Sportz,₹ 1.20 Lakh,"169,489 km",Petrol,Mumbai,2013
Honda Amaze VX,₹ 1.20 Lakh,"158,399 km",Diesel,Pune,2012
Audi A4 35 TDI,₹ 32.42 Lakh,"115,195 km",Petrol,Hyderabad,2017
Audi Q3 Premium,₹ 34.71 Lakh,"70,496 km",Petrol,Delhi,2020
Kia Carens Prestige,₹ 6.08 Lakh,"112,197 km",Petrol,Pune,2018
Honda BR-V VX,₹ 2.19 Lakh,"111,241 km",Diesel,Delhi,2016
Toyota Glanza G,₹ 6.16 Lakh,"134,414 km",Petrol,Mumbai,2015
Mercedes-Benz E-Class E220d,₹ 47.11 Lakh,"142,071 km",Diesel,Noida,2015
Kia Sonet GTX,₹ 7.12 Lakh,"103,226 km",Petrol,Hyderabad,2018
Tata Safari XZ+,₹ 1.94 Lakh,"140,854 km",CNG,Pune,2015
Tata Nexon XZ+,₹ 1.20 Lakh,"168,120 km",Petrol,Thane,2013
Mercedes-Benz E-Class E220d,₹ 52.88 Lakh,"32,097 km",Diesel,Bangalore,2023
Hyundai Creta SX,₹ 1.20 Lakh,"173,571 km",Diesel,Kolkata,2014
Maruti Suzuki S-Presso VXi,₹ 1.20 Lakh,"97,219 km",Diesel,Delhi,2018
Maruti Suzuki Vitara Brezza VDi,₹ 1.20 Lakh,"95,480 km",CNG,Mumbai,2019
Toyota Etios Liva G,₹ 4.65 Lakh,"163,157 km",CNG,Pune,2013
Audi Q5 quattro,₹ 30.47 Lakh,"149,629 km",Diesel,Delhi,2014
Mahindra Thar LX,₹ 7.62 Lakh,"85,538 km",Diesel,Kolkata,2019
BMW 3 Series 320d,₹ 39.29 Lakh,"76,828 km",Petrol,Ahmedabad,2017
Mercedes-Benz E-Class E220d,₹ 46.15 Lakh,"159,185 km",Diesel,Bangalore,2013
Toyota Fortuner 2.8 4x2,₹ 6.75 Lakh,"127,410 km",Diesel,Mumbai,2017
Kia Sonet GTX,₹ 5.63 Lakh,"136,721 km",Diesel,Delhi,2015
Audi Q3 Premium,₹ 36.51 Lakh,"69,127 km",Diesel,Pune,2020
Mahindra Thar LX,₹ 7.13 Lakh,"76,494 km",Diesel,Pune,2018
Mercedes-Benz GLA 220d,₹ 52.29 Lakh,"25,631 km",Petrol,Noida,2023
BMW X1 sDrive20d,₹ 38.10 Lakh,"105,424 km",Petrol,Bangalore,2017
Honda BR-V VX,₹ 1.20 Lakh,"155,780 km",CNG,Thane,2016
Tata Safari XZ+,₹ 2.03 Lakh,"134,212 km",Diesel,Mumbai,2016
Mercedes-Benz C-Class C200,₹ 43.32 Lakh,"176,960 km",Petrol,Pune,2012
Mahindra Scorpio S11,₹ 2.74 Lakh,"179,214 km",Diesel,Thane,2012
Audi A4 35 TDI,₹ 30.71 Lakh,"163,014 km",Petrol,Bangalore,2013
Toyota Etios Liva G,₹ 10.62 Lakh,"73,664 km",Petrol,Kolkata,2021
Toyota Etios Liva G,₹ 8.90 Lakh,"96,112 km",Diesel,Delhi,2018
Tata Tiago XT,₹ 1.20 Lakh,"132,350 km",Diesel,Noida,2014
Toyota Innova Crysta GX,₹ 4.76 Lakh,"141,930 km",Diesel,Thane,2014
Tata Nexon XZ+,₹ 2.53 Lakh,"109,576 km",CNG,Bangalore,2016
Kia Seltos GTX,₹ 4.35 Lakh,"142,133 km",CNG,Kolkata,2014
Audi Q5 quattro,₹ 38.48 Lakh,"33,980 km",Petrol,Chennai,2023
BMW 3 Series 320d,₹ 39.90 Lakh,"85,755 km",Diesel,Chennai,2020
Honda BR-V VX,₹ 1.78 Lakh,"128,607 km",Diesel,Bangalore,2016
Mercedes-Benz E-Class E220d,₹ 44.31 Lakh,"157,603 km",Petrol,Bangalore,2012
Maruti Suzuki S-Presso VXi,₹ 1.91 Lakh,"73,113 km",Petrol,Pune,2020
Hyundai Elite i20 Sportz,₹ 4.17 Lakh,"65,992 km",Petrol,Pune,2021
Mahindra XUV500 W8,₹ 3.49 Lakh,"159,924 km",CNG,Mumbai,2013
Audi A4 35 TDI,₹ 35.19 Lakh,"59,055 km",Petrol,Bangalore,2020
Honda Amaze VX,₹ 6.29 Lakh,"39,524 km",Petrol,Kolkata,2022
Toyota Glanza G,₹ 3.52 Lakh,"194,487 km",Petrol,Bangalore,2013
Hyundai Verna SX,₹ 1.20 Lakh,"161,098 km",Petrol,Thane,2013
Maruti Suzuki Swift VXi,₹ 1.20 Lakh,"130,611 km",Diesel,Kolkata,2016
Toyota Corolla Altis G,₹ 5.70 Lakh,"132,900 km",CNG,Noida,2016
Honda City VX,₹ 1.20 Lakh,"132,662 km",Petrol,Hyderabad,2014
Audi A4 35 TDI,₹ 35.11 Lakh,"79,154 km",Diesel,Noida,2019
Tata Safari XZ+,₹ 3.90 Lakh,"102,214 km",CNG,Delhi,2018
Kia Seltos GTX,₹ 2.74 Lakh,"171,734 km",Diesel,Mumbai,2012
Maruti Suzuki S-Presso VXi,₹ 1.20 Lakh,"178,937 km",Diesel,Bangalore,2012
BMW 5 Series 520d,₹ 35.03 Lakh,"184,218 km",Diesel,Ahmedabad,2012
Audi Q3 Premium,₹ 35.99 Lakh,"75,708 km",Diesel,Bangalore,2020
Mahindra Scorpio S11,₹ 11.29 Lakh,"28,722 km",Petrol,Pune,2023
Tata Safari XZ+,₹ 1.20 Lakh,"155,856 km",CNG,Kolkata,2013
BMW X1 sDrive20d,₹ 42.02 Lakh,"60,982 km",Petrol,Bangalore,2022
Mercedes-Benz GLA 220d,₹ 46.98 Lakh,"130,067 km",Petrol,Delhi,2017
Honda Jazz VX,₹ 1.20 Lakh,"153,833 km",CNG,Kolkata,2013
Toyota Fortuner 2.8 4x2,₹ 4.58 Lakh,"148,836 km",Petrol,Chennai,2013
Kia Seltos GTX,₹ 2.37 Lakh,"168,486 km",CNG,Delhi,2012
Mahindra Scorpio S11,₹ 9.63 Lakh,"49,173 km",Petrol,Bangalore,2022
BMW 5 Series 520d,₹ 35.44 Lakh,"164,633 km",Diesel,Hyderabad,2014
BMW X1 sDrive20d,₹ 38.06 Lakh,"123,905 km",Diesel,Hyderabad,2016
Kia Carens Prestige,₹ 4.17 Lakh,"139,279 km",CNG,Delhi,2015
Honda City VX,₹ 2.47 Lakh,"114,367 km",Diesel,Noida,2017
Hyundai Elite i20 Sportz,₹ 1.20 Lakh,"136,553 km",CNG,Thane,2014
Toyota Corolla Altis G,₹ 9.01 Lakh,"61,498 km",CNG,Ahmedabad,2019
Audi A4 35 TDI,₹ 29.96 Lakh,"145,407 km",Diesel,Noida,2013
Audi Q3 Premium,₹ 29.81 Lakh,"167,301 km",Diesel,Kolkata,2013
Mercedes-Benz GLA 220d,₹ 47.44 Lakh,"135,047 km",Petrol,Pune,2017
Mahindra XUV500 W8,₹ 4.12 Lakh,"152,143 km",Diesel,Delhi,2014
Toyota Corolla Altis G,₹ 10.61 Lakh,"52,886 km",Petrol,Thane,2021
Hyundai Verna SX,₹ 2.20 Lakh,"88,996 km",Diesel,Mumbai,2019
Kia Sonet GTX,₹ 4.75 Lakh,"126,658 km",Petrol,Hyderabad,2015
Mahindra Scorpio S11,₹ 1.20 Lakh,"190,601 km",Petrol,Kolkata,2012
Mercedes-Benz GLA 220d,₹ 53.13 Lakh,"52,088 km",Petrol,Delhi,2023
Mercedes-Benz GLA 220d,₹ 51.78 Lakh,"46,250 km",Diesel,Thane,2021
Honda Amaze VX,₹ 7.00 Lakh,"44,120 km",CNG,Hyderabad,2023
Kia Sonet GTX,₹ 5.92 Lakh,"125,837 km",Petrol,Mumbai,2016
Maruti Suzuki Wagon R 1.0 VXI,₹ 1.76 Lakh,"67,881 km",CNG,Mumbai,2020
Maruti Suzuki Ertiga VXI CNG,₹ 1.20 Lakh,"93,634 km",CNG,Bangalore,2018
Kia Carens Prestige,₹ 3.60 Lakh,"153,496 km",CNG,Ahmedabad,2014
Mahindra Thar LX,₹ 1.46 Lakh,"176,993 km",Petrol,Hyderabad,2012
Maruti Suzuki Wagon R 1.0 VXI,₹ 1.20 Lakh,"100,601 km",CNG,Noida,2018
